city,state_name,county_name,population,zip_counts,trx_counts,presc_counts
LOS ANGELES,CALIFORNIA,LOS ANGELES,12750807,196,26,2
PHILADELPHIA,PENNSYLVANIA,PHILADELPHIA,5649300,86,24,1
WASHINGTON,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,5379184,286,35,1
PHOENIX,ARIZONA,MARICOPA,4219697,82,58,2
DENVER,COLORADO,DENVER,2876625,54,59,1
BROOKLYN,NEW YORK,KINGS,2559903,37,238,3
SACRAMENTO,CALIFORNIA,SACRAMENTO,1898019,86,23,1
SAN JOSE,CALIFORNIA,SANTA CLARA,1798103,58,18,1
PITTSBURGH,PENNSYLVANIA,ALLEGHENY,1703266,52,11,1
BRONX,NEW YORK,BRONX,1418207,25,14,1
PROVIDENCE,RHODE ISLAND,PROVIDENCE,1203230,12,16,1
NASHVILLE,TENNESSEE,DAVIDSON,1081903,50,27,1
ROCHESTER,NEW YORK,MONROE,703952,30,16,1
WORCESTER,MASSACHUSETTS,WORCESTER,498328,15,22,1
GREENVILLE,SOUTH CAROLINA,GREENVILLE,484465,10,35,1
LEXINGTON,KENTUCKY,FAYETTE,323152,39,24,1
DAVENPORT,IOWA,SCOTT,285362,9,11,1
EUGENE,OREGON,LANE,273439,6,30,1
GARLAND,TEXAS,DALLAS,239928,8,1000,1
HIALEAH,FLORIDA,MIAMI-DADE,233339,6,37,1
SAN BERNARDINO,CALIFORNIA,SAN BERNARDINO,215784,16,14,1
GARDEN GROVE,CALIFORNIA,ORANGE,171644,7,51,1
OCALA,FLORIDA,MARION,169383,8,34,1
METAIRIE,LOUISIANA,JEFFERSON,142135,11,25,1
PANAMA CITY,FLORIDA,BAY,136133,5,31,1
BURLINGTON,NORTH CAROLINA,ALAMANCE,131043,2,11,1
BILLINGS,MONTANA,YELLOWSTONE,120728,10,70,1
KINGSPORT,TENNESSEE,SULLIVAN,119666,6,24,1
WEST PALM BEACH,FLORIDA,PALM BEACH,111955,9,12,1
EVERETT,WASHINGTON,SNOHOMISH,111475,9,31,1
NORWALK,CONNECTICUT,FAIRFIELD,88816,9,156,1
BUENA PARK,CALIFORNIA,ORANGE,81788,4,16,1
ALTON,ILLINOIS,MADISON,78905,1,240,1
LOVELAND,COLORADO,LARIMER,78877,3,16,1
LEBANON,PENNSYLVANIA,LEBANON,78302,2,52,1
TAMARAC,FLORIDA,BROWARD,66721,4,57,1
TITUSVILLE,FLORIDA,BREVARD,57891,3,147,1
CATHEDRAL CITY,CALIFORNIA,RIVERSIDE,55007,3,49,1
YUCAIPA,CALIFORNIA,SAN BERNARDINO,53921,1,80,1
KYLE,TEXAS,HAYS,48393,2,285,1
TUPELO,MISSISSIPPI,LEE,45466,5,3,1
QUINCY,ILLINOIS,ADAMS,44466,2,69,1
HUTCHINSON,KANSAS,RENO,42531,2,23,1
GROVE CITY,OHIO,FRANKLIN,41820,1,28,1
NEW ALBANY,INDIANA,FLOYD,36843,2,11,1
MERIDIAN,MISSISSIPPI,LAUDERDALE,36686,6,55,1
VALPARAISO,INDIANA,PORTER,33897,3,16,1
BETHEL PARK,PENNSYLVANIA,ALLEGHENY,32345,2,15,1
SEGUIN,TEXAS,GUADALUPE,29992,3,16,1
LAKE CITY,FLORIDA,COLUMBIA,26271,3,600,1
DE PERE,WISCONSIN,BROWN,24970,2,11,1
JOHNSTON,IOWA,POLK,22582,1,17,1
FORT ATKINSON,WISCONSIN,JEFFERSON,21196,1,198,1
MINEOLA,NEW YORK,NASSAU,19207,1,35,2
WESTBROOK,MAINE,CUMBERLAND,19074,2,19,1
HUMACAO,PUERTO RICO,HUMACAO,17939,2,51,1
CROSSVILLE,TENNESSEE,CUMBERLAND,17825,2,19,1
PORT JERVIS,NEW YORK,ORANGE,16273,1,42,1
NEWTON,IOWA,JASPER,15580,1,16,1
MUSCLE SHOALS,ALABAMA,COLBERT,14575,2,661,1
EPHRATA,PENNSYLVANIA,LANCASTER,13862,1,500,1
FERGUS FALLS,MINNESOTA,OTTER TAIL,13794,2,19,1
WORTHINGTON,MINNESOTA,NOBLES,13099,1,200,1
BORGER,TEXAS,HUTCHINSON,12718,2,40,1
SHEPHERDSVILLE,KENTUCKY,BULLITT,12442,2,19,1
PATCHOGUE,NEW YORK,SUFFOLK,12321,1,21,1
EATONTOWN,NEW JERSEY,MONMOUTH,12157,2,21,1
GREENSBURG,INDIANA,DECATUR,11960,1,14,1
MEXIA,TEXAS,LIMESTONE,7344,1,44,1
BEDFORD,VIRGINIA,BEDFORD,7240,1,14,1
CLYDE,OHIO,SANDUSKY,6166,1,22,1
STEELTON,PENNSYLVANIA,DAUPHIN,5962,1,17,1
FLEMINGTON,NEW JERSEY,HUNTERDON,4577,1,62,1
CANTON,SOUTH DAKOTA,LINCOLN,3560,1,12,1
RED BUD,ILLINOIS,RANDOLPH,3480,1,11,1
HOMER CITY,PENNSYLVANIA,INDIANA,1588,1,18,1
ROSEBORO,NORTH CAROLINA,SAMPSON,1167,1,27,1
